RICO_scannet_1_2024_04_24_22_01_38 [107] (14/465): loss = 0.12653692066669464, rgb_loss = 0.06960844248533249, eikonal_loss = 0.05834882706403732, bg_render_loss = 0.0, lop_loss = 2.630501148814801e-05, lrd_loss = 3.22291430165933e-06, semantic_loss = 0.13436096906661987, smooth_loss = 0.0, depth_loss = 0.17135009169578552, normal_l1 = 0.5259448885917664, normal_cos = 0.10402795672416687, psnr = 20.017017364501953
RICO_scannet_1_2024_04_24_22_01_38 [107] (15/465): loss = 0.07860720902681351, rgb_loss = 0.026067856699228287, eikonal_loss = 0.03489052876830101, bg_render_loss = 0.16646309196949005, lop_loss = 6.653578748228028e-05, lrd_loss = 0.00028007591026835144, semantic_loss = 0.06959839910268784, smooth_loss = 0.0, depth_loss = 0.042269304394721985, normal_l1 = 0.4536757469177246, normal_cos = 0.08838397264480591, psnr = 27.059045791625977
RICO_scannet_1_2024_04_24_22_01_38 [107] (16/465): loss = 0.10570967197418213, rgb_loss = 0.06342273205518723, eikonal_loss = 0.05109916627407074, bg_render_loss = 0.0, lop_loss = 3.760226945814793e-06, lrd_loss = 0.0, semantic_loss = 0.004634838551282883, smooth_loss = 0.0, depth_loss = 0.12990702688694, normal_l1 = 0.46621641516685486, normal_cos = 0.06489364802837372, psnr = 19.57472801208496
RICO_scannet_1_2024_04_24_22_01_38 [107] (17/465): loss = 0.046661436557769775, rgb_loss = 0.025860927999019623, eikonal_loss = 0.026243343949317932, bg_render_loss = 0.0, lop_loss = 8.858053479343653e-05, lrd_loss = 9.102664625970647e-05, semantic_loss = 0.10561846196651459, smooth_loss = 0.0, depth_loss = 0.03024492785334587, normal_l1 = 0.22341196238994598, normal_cos = 0.02101098746061325, psnr = 27.508235931396484
RICO_scannet_1_2024_04_24_22_01_38 [107] (18/465): loss = 0.10134226828813553, rgb_loss = 0.060805365443229675, eikonal_loss = 0.039536476135253906, bg_render_loss = 0.0, lop_loss = 3.0810883799858857e-07, lrd_loss = 0.0, semantic_loss = 0.0020370727870613337, smooth_loss = 0.0, depth_loss = 0.18476398289203644, normal_l1 = 0.3468548655509949, normal_cos = 0.053188495337963104, psnr = 20.744253158569336
RICO_scannet_1_2024_04_24_22_01_38 [107] (19/465): loss = 0.07903251051902771, rgb_loss = 0.037278663367033005, eikonal_loss = 0.031758151948451996, bg_render_loss = 0.0, lop_loss = 9.139216126641259e-05, lrd_loss = 0.00013343307364266366, semantic_loss = 0.10828854888677597, smooth_loss = 0.0, depth_loss = 0.07395744323730469, normal_l1 = 0.4900035262107849, normal_cos = 0.0783199667930603, psnr = 23.683687210083008
RICO_scannet_1_2024_04_24_22_01_38 [107] (20/465): loss = 0.10462182015180588, rgb_loss = 0.06387201696634293, eikonal_loss = 0.050870366394519806, bg_render_loss = 0.0, lop_loss = 4.4588227865460794e-06, lrd_loss = 0.0, semantic_loss = 0.0039142463356256485, smooth_loss = 0.0, depth_loss = 0.0833289623260498, normal_l1 = 0.5118558406829834, normal_cos = 0.0824718251824379, psnr = 19.62131690979004
RICO_scannet_1_2024_04_24_22_01_38 [107] (21/465): loss = 0.052176475524902344, rgb_loss = 0.033561065793037415, eikonal_loss = 0.05556809529662132, bg_render_loss = 0.0, lop_loss = 6.544505026795377e-07, lrd_loss = 0.0, semantic_loss = 0.002562693553045392, smooth_loss = 0.0, depth_loss = 0.04192075878381729, normal_l1 = 0.21078447997570038, normal_cos = 0.020062610507011414, psnr = 24.4737548828125
RICO_scannet_1_2024_04_24_22_01_38 [107] (22/465): loss = 0.06718821078538895, rgb_loss = 0.03601079434156418, eikonal_loss = 0.039885345846414566, bg_render_loss = 0.0, lop_loss = 3.207551344530657e-05, lrd_loss = 0.00034267507726326585, semantic_loss = 0.050336871296167374, smooth_loss = 0.0, depth_loss = 0.10467831045389175, normal_l1 = 0.2997684180736542, normal_cos = 0.03351893275976181, psnr = 24.633625030517578
RICO_scannet_1_2024_04_24_22_01_38 [107] (23/465): loss = 0.11709882318973541, rgb_loss = 0.0662466436624527, eikonal_loss = 0.04842594638466835, bg_render_loss = 0.0, lop_loss = 0.00011002826795447618, lrd_loss = 0.00010912348079727963, semantic_loss = 0.2248229831457138, smooth_loss = 0.0, depth_loss = 0.0784633532166481, normal_l1 = 0.5189452767372131, normal_cos = 0.11244890093803406, psnr = 19.033607482910156
RICO_scannet_1_2024_04_24_22_01_38 [107] (24/465): loss = 0.04204535856842995, rgb_loss = 0.026943152770400047, eikonal_loss = 0.051164619624614716, bg_render_loss = 0.0, lop_loss = 2.7453560846879554e-07, lrd_loss = 0.0, semantic_loss = 0.002799042034894228, smooth_loss = 0.0, depth_loss = 0.038362789899110794, normal_l1 = 0.162153959274292, normal_cos = 0.009760089218616486, psnr = 26.31624984741211
RICO_scannet_1_2024_04_24_22_01_38 [107] (25/465): loss = 0.11102095246315002, rgb_loss = 0.06616045534610748, eikonal_loss = 0.05725422129034996, bg_render_loss = 0.0, lop_loss = 3.8728459912817925e-05, lrd_loss = 0.00019892764976248145, semantic_loss = 0.03167594596743584, smooth_loss = 0.0, depth_loss = 0.1284218579530716, normal_l1 = 0.46339914202690125, normal_cos = 0.09389671683311462, psnr = 20.086496353149414
RICO_scannet_1_2024_04_24_22_01_38 [107] (26/465): loss = 0.05651082843542099, rgb_loss = 0.03431881219148636, eikonal_loss = 0.03134671971201897, bg_render_loss = 0.0, lop_loss = 0.00010244231089018285, lrd_loss = 0.00028082801145501435, semantic_loss = 0.06255130469799042, smooth_loss = 0.0, depth_loss = 0.062434207648038864, normal_l1 = 0.21791282296180725, normal_cos = 0.018904807046055794, psnr = 24.480792999267578
